fold,layers,para,acc,checkpoint_pth
1,12,86227250,0.955,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-23_13-54-50/train_ray_0a754_00001_1_2024-12-23_13-54-50/checkpoint_000012/checkpoint.pt
1,11,79139378,0.955,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-23_16-43-26/train_ray_98668_00007_7_2024-12-23_16-43-26/checkpoint_000005/checkpoint.pt
1,10,72051506,0.95,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-23_19-17-13/train_ray_143ea_00005_5_2024-12-23_19-17-14/checkpoint_000002/checkpoint.pt
1,9,64963634,0.9375,
1,8,57875762,0.935,
1,7,50787890,0.94,
1,6,43700018,0.925,
1,5,36612146,0.8825,
1,4,29524274,0.8525,
1,3,22436402,0.8025,
1,2,15348530,0.6725,
1,1,8260658,0.2725,
2,12,86227250,0.97,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-24_11-10-09/train_ray_339f1_00009_9_2024-12-24_11-10-09/checkpoint_000015/checkpoint.pt
2,11,79139378,0.97,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-24_14-10-25/train_ray_629f5_00009_9_2024-12-24_14-10-26/checkpoint_000015/checkpoint.pt
2,10,72051506,0.97,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-24_16-54-11/train_ray_431cc_00009_9_2024-12-24_16-54-11/checkpoint_000057/checkpoint.pt
2,9,64963634,0.965,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-24_19-27-20/train_ray_a7fe3_00003_3_2024-12-24_19-27-20/checkpoint_000018/checkpoint.pt
2,8,57875762,0.955,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-24_21-41-14/train_ray_5d052_00001_1_2024-12-24_21-41-14/checkpoint_000016/checkpoint.pt
2,7,50787890,0.95,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-24_23-38-56/train_ray_cde0f_00004_4_2024-12-24_23-38-56/checkpoint_000002/checkpoint.pt
2,6,43700018,0.9275,
2,5,36612146,0.895,
2,4,29524274,0.8725,
2,3,22436402,0.775,
2,2,15348530,0.67,
2,1,8260658,0.2925,
3,12,86227250,0.94,
3,11,79139378,0.9425,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-25_11-47-10/train_ray_8989c_00005_5_2024-12-25_11-47-10/checkpoint_000000/checkpoint.pt
3,10,72051506,0.945,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-25_14-19-09/train_ray_c53ae_00004_4_2024-12-25_14-19-09/checkpoint_000001/checkpoint.pt
3,9,64963634,0.9425,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-25_16-39-18/train_ray_59781_00007_7_2024-12-25_16-39-18/checkpoint_000000/checkpoint.pt
3,8,57875762,0.9375,
3,7,50787890,0.94,
3,6,43700018,0.93,
3,5,36612146,0.9125,
3,4,29524274,0.88,
3,3,22436402,0.83,
3,2,15348530,0.685,
3,1,8260658,0.285,
4,12,86227250,0.9625,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-26_05-38-30/train_ray_33a5b_00006_6_2024-12-26_05-38-30/checkpoint_000064/checkpoint.pt
4,11,79139378,0.9575,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-26_08-27-35/train_ray_d2d1a_00000_0_2024-12-26_08-27-36/checkpoint_000021/checkpoint.pt
4,10,72051506,0.9575,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-26_11-02-02/train_ray_66092_00009_9_2024-12-26_11-02-02/checkpoint_000011/checkpoint.pt
4,9,64963634,0.9625,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-26_13-27-01/train_ray_a6f0f_00005_5_2024-12-26_13-27-01/checkpoint_000027/checkpoint.pt
4,8,57875762,0.95,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-26_15-43-00/train_ray_a65d7_00003_3_2024-12-26_15-43-00/checkpoint_000001/checkpoint.pt
4,7,50787890,0.95,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-26_17-38-33/train_ray_ca588_00003_3_2024-12-26_17-38-33/checkpoint_000004/checkpoint.pt
4,6,43700018,0.9375,
4,5,36612146,0.9175,
4,4,29524274,0.885,
4,3,22436402,0.8325,
4,2,15348530,0.71,
4,1,8260658,0.2825,
5,12,86227250,0.955,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-27_02-32-40/train_ray_686b4_00007_7_2024-12-27_02-32-41/checkpoint_000000/checkpoint.pt
5,11,79139378,0.9475,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-27_05-16-03/train_ray_3b4c8_00006_6_2024-12-27_05-16-03/checkpoint_000001/checkpoint.pt
5,10,72051506,0.9475,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2024-12-27_07-47-08/train_ray_560f0_00002_2_2024-12-27_07-47-08/checkpoint_000001/checkpoint.pt
5,9,64963634,0.93,
5,8,57875762,0.9275,
5,7,50787890,0.925,
5,6,43700018,0.915,
5,5,36612146,0.8775,
5,4,29524274,0.8425,
5,3,22436402,0.7775,
5,2,15348530,0.665,
5,1,8260658,0.295,
