--Fold 1:
--Epoch 1/40: Train Loss 0.1006, Train Acc 0.3262, Val Loss 2.0850, Val Acc 0.7400, Best Acc 0.74
--Epoch 2/40: Train Loss 0.0433, Train Acc 0.8556, Val Loss 1.0689, Val Acc 0.8625, Best Acc 0.8625
--Epoch 3/40: Train Loss 0.0185, Train Acc 0.9587, Val Loss 0.6909, Val Acc 0.9125, Best Acc 0.9125
--Epoch 4/40: Train Loss 0.0091, Train Acc 0.9856, Val Loss 0.5383, Val Acc 0.9125, Best Acc 0.9125
--Epoch 5/40: Train Loss 0.0051, Train Acc 0.9944, Val Loss 0.4651, Val Acc 0.9100, Best Acc 0.9125
--Epoch 6/40: Train Loss 0.0031, Train Acc 0.9988, Val Loss 0.4185, Val Acc 0.9125, Best Acc 0.9125
--Epoch 7/40: Train Loss 0.0021, Train Acc 1.0000, Val Loss 0.3858, Val Acc 0.9175, Best Acc 0.9175
--Epoch 8/40: Train Loss 0.0015, Train Acc 1.0000, Val Loss 0.3618, Val Acc 0.9175, Best Acc 0.9175
--Epoch 9/40: Train Loss 0.0012, Train Acc 1.0000, Val Loss 0.3440, Val Acc 0.9200, Best Acc 0.92
--Epoch 10/40: Train Loss 0.0009, Train Acc 1.0000, Val Loss 0.3303, Val Acc 0.9175, Best Acc 0.92
--Epoch 11/40: Train Loss 0.0008, Train Acc 1.0000, Val Loss 0.3195, Val Acc 0.9200, Best Acc 0.92
--Epoch 12/40: Train Loss 0.0007, Train Acc 1.0000, Val Loss 0.3107, Val Acc 0.9225, Best Acc 0.9225
--Epoch 13/40: Train Loss 0.0006, Train Acc 1.0000, Val Loss 0.3036, Val Acc 0.9225, Best Acc 0.9225
--Epoch 14/40: Train Loss 0.0005, Train Acc 1.0000, Val Loss 0.2978, Val Acc 0.9225, Best Acc 0.9225
--Epoch 15/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.2929, Val Acc 0.9250, Best Acc 0.925
--Epoch 16/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.2888, Val Acc 0.9275, Best Acc 0.9275
--Epoch 17/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2853, Val Acc 0.9275, Best Acc 0.9275
--Epoch 18/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2824, Val Acc 0.9275, Best Acc 0.9275
--Epoch 19/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2798, Val Acc 0.9275, Best Acc 0.9275
--Epoch 20/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2776, Val Acc 0.9275, Best Acc 0.9275
--Epoch 21/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2756, Val Acc 0.9275, Best Acc 0.9275
--Epoch 22/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2739, Val Acc 0.9275, Best Acc 0.9275
--Epoch 23/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2723, Val Acc 0.9275, Best Acc 0.9275
--Epoch 24/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2710, Val Acc 0.9300, Best Acc 0.93
--Epoch 25/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2697, Val Acc 0.9300, Best Acc 0.93
--Epoch 26/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2686, Val Acc 0.9300, Best Acc 0.93
--Epoch 27/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2676, Val Acc 0.9300, Best Acc 0.93
--Epoch 28/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2668, Val Acc 0.9300, Best Acc 0.93
--Epoch 29/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2659, Val Acc 0.9300, Best Acc 0.93
--Epoch 30/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2652, Val Acc 0.9300, Best Acc 0.93
--Epoch 31/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2645, Val Acc 0.9300, Best Acc 0.93
--Epoch 32/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 33/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2634, Val Acc 0.9300, Best Acc 0.93
--Epoch 34/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2629, Val Acc 0.9300, Best Acc 0.93
--Epoch 35/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2625, Val Acc 0.9300, Best Acc 0.93
--Epoch 36/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2620, Val Acc 0.9300, Best Acc 0.93
--Epoch 37/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2617, Val Acc 0.9300, Best Acc 0.93
--Epoch 38/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2613, Val Acc 0.9300, Best Acc 0.93
--Epoch 39/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2610, Val Acc 0.9300, Best Acc 0.93
--Epoch 40/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2608, Val Acc 0.9300, Best Acc 0.93
--Removing layers: [10]
Pruned model to 11 layers.
--Epoch 1/40: Train Loss 0.0030, Train Acc 1.0000, Val Loss 0.3414, Val Acc 0.9225, Best Acc 0.9225
--Epoch 2/40: Train Loss 0.0006, Train Acc 1.0000, Val Loss 0.3042, Val Acc 0.9275, Best Acc 0.9275
--Epoch 3/40: Train Loss 0.0004, Train Acc 1.0000, Val Loss 0.2895, Val Acc 0.9275, Best Acc 0.9275
--Epoch 4/40: Train Loss 0.0003, Train Acc 1.0000, Val Loss 0.2832, Val Acc 0.9250, Best Acc 0.9275
--Epoch 5/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2780, Val Acc 0.9250, Best Acc 0.9275
--Epoch 6/40: Train Loss 0.0002, Train Acc 1.0000, Val Loss 0.2742, Val Acc 0.9275, Best Acc 0.9275
--Epoch 7/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2713, Val Acc 0.9275, Best Acc 0.9275
--Epoch 8/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2692, Val Acc 0.9275, Best Acc 0.9275
--Epoch 9/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2676, Val Acc 0.9275, Best Acc 0.9275
--Epoch 10/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2664, Val Acc 0.9275, Best Acc 0.9275
--Epoch 11/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2655, Val Acc 0.9300, Best Acc 0.93
--Epoch 12/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2649, Val Acc 0.9300, Best Acc 0.93
--Epoch 13/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2644, Val Acc 0.9300, Best Acc 0.93
--Epoch 14/40: Train Loss 0.0001, Train Acc 1.0000, Val Loss 0.2641, Val Acc 0.9300, Best Acc 0.93
--Epoch 15/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 16/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 17/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 18/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2639, Val Acc 0.9300, Best Acc 0.93
--Epoch 19/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2640, Val Acc 0.9300, Best Acc 0.93
--Epoch 20/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2642, Val Acc 0.9300, Best Acc 0.93
--Epoch 21/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2644, Val Acc 0.9300, Best Acc 0.93
--Epoch 22/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2647, Val Acc 0.9300, Best Acc 0.93
--Epoch 23/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2650, Val Acc 0.9300, Best Acc 0.93
--Epoch 24/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2652, Val Acc 0.9300, Best Acc 0.93
--Epoch 25/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2654, Val Acc 0.9300, Best Acc 0.93
--Epoch 26/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2657, Val Acc 0.9300, Best Acc 0.93
--Epoch 27/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2660, Val Acc 0.9300, Best Acc 0.93
--Epoch 28/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2663, Val Acc 0.9300, Best Acc 0.93
--Epoch 29/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2666, Val Acc 0.9300, Best Acc 0.93
--Epoch 30/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2668, Val Acc 0.9300, Best Acc 0.93
--Epoch 31/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2671, Val Acc 0.9300, Best Acc 0.93
--Epoch 32/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2674, Val Acc 0.9300, Best Acc 0.93
--Epoch 33/40: Train Loss 0.0000, Train Acc 1.0000, Val Loss 0.2676, Val Acc 0.9300, Best Acc 0.93
