fold,layers,para,acc,checkpoint_pth
1,12,86227250,0.955,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-11_23-04-35/train_ray_fcecb_00000_0_2025-01-11_23-04-35/checkpoint_000015/checkpoint.pt
1,11,79139378,0.965,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-11_23-50-57/train_ray_776f7_00003_3_2025-01-11_23-50-57/checkpoint_000007/checkpoint.pt
1,10,72051506,0.96,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_00-34-57/train_ray_9ca36_00002_2_2025-01-12_00-34-57/checkpoint_000007/checkpoint.pt
1,9,64963634,0.96,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_01-14-03/train_ray_12ee2_00000_0_2025-01-12_01-14-03/checkpoint_000010/checkpoint.pt
1,8,57875762,0.9525,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_01-49-19/train_ray_002e7_00002_2_2025-01-12_01-49-19/checkpoint_000005/checkpoint.pt
1,7,50787890,0.945,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_02-20-46/train_ray_653c8_00000_0_2025-01-12_02-20-46/checkpoint_000000/checkpoint.pt
1,6,43700018,0.935,
1,5,36612146,0.9075,
1,4,29524274,0.8775,
1,3,22436402,0.8075,
1,2,15348530,0.6875,
1,1,8260658,0.2175,
2,12,86227250,0.965,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_04-30-42/train_ray_8befa_00000_0_2025-01-12_04-30-42/checkpoint_000032/checkpoint.pt
2,11,79139378,0.97,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_05-19-41/train_ray_63e91_00000_0_2025-01-12_05-19-41/checkpoint_000045/checkpoint.pt
2,10,72051506,0.965,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_06-04-47/train_ray_b07bc_00000_0_2025-01-12_06-04-47/checkpoint_000030/checkpoint.pt
2,9,64963634,0.9625,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_06-44-19/train_ray_36aee_00002_2_2025-01-12_06-44-19/checkpoint_000009/checkpoint.pt
2,8,57875762,0.9625,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_07-20-00/train_ray_32a4f_00002_2_2025-01-12_07-20-00/checkpoint_000005/checkpoint.pt
2,7,50787890,0.9475,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_07-51-56/train_ray_a8b3e_00003_3_2025-01-12_07-51-56/checkpoint_000000/checkpoint.pt
2,6,43700018,0.935,
2,5,36612146,0.9025,
2,4,29524274,0.865,
2,3,22436402,0.78,
2,2,15348530,0.655,
2,1,8260658,0.2425,
3,12,86227250,0.9525,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_10-02-27/train_ray_e3fac_00002_2_2025-01-12_10-02-27/checkpoint_000006/checkpoint.pt
3,11,79139378,0.9475,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_10-48-10/train_ray_47580_00001_1_2025-01-12_10-48-10/checkpoint_000001/checkpoint.pt
3,10,72051506,0.9425,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_11-29-54/train_ray_1bd72_00001_1_2025-01-12_11-29-54/checkpoint_000000/checkpoint.pt
3,9,64963634,0.945,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_12-08-10/train_ray_7462f_00003_3_2025-01-12_12-08-10/checkpoint_000000/checkpoint.pt
3,8,57875762,0.9325,
3,7,50787890,0.925,
3,6,43700018,0.9375,
3,5,36612146,0.92,
3,4,29524274,0.8725,
3,3,22436402,0.825,
3,2,15348530,0.69,
3,1,8260658,0.23,
4,12,86227250,0.955,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_15-25-21/train_ray_ffe93_00003_3_2025-01-12_15-25-21/checkpoint_000007/checkpoint.pt
4,11,79139378,0.96,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_16-11-37/train_ray_76af6_00002_2_2025-01-12_16-11-37/checkpoint_000025/checkpoint.pt
4,10,72051506,0.9525,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_16-54-56/train_ray_83ac1_00000_0_2025-01-12_16-54-56/checkpoint_000007/checkpoint.pt
4,9,64963634,0.96,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_17-33-50/train_ray_f3359_00002_2_2025-01-12_17-33-50/checkpoint_000024/checkpoint.pt
4,8,57875762,0.95,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_18-10-24/train_ray_0e63b_00002_2_2025-01-12_18-10-24/checkpoint_000012/checkpoint.pt
4,7,50787890,0.9425,/home/usrs/wang.changlong.s8/ADP/ray_results/train_ray_2025-01-12_18-41-59/train_ray_78715_00000_0_2025-01-12_18-41-59/checkpoint_000000/checkpoint.pt
4,6,43700018,0.94,
4,5,36612146,0.9375,
4,4,29524274,0.885,
4,3,22436402,0.81,
4,2,15348530,0.6625,
4,1,8260658,0.28,
5,12,86227250,0.94,
5,11,79139378,0.94,
5,10,72051506,0.9375,
5,9,64963634,0.935,
5,8,57875762,0.9325,
5,7,50787890,0.93,
5,6,43700018,0.92,
5,5,36612146,0.8975,
5,4,29524274,0.86,
5,3,22436402,0.8,
5,2,15348530,0.69,
5,1,8260658,0.2425,
